"Cob" "Rend"
"1" 50 1900.69
"2" 55 1691.59
"3" 60 2118.41
"4" 65 1842.06
"5" 70 2322.71
"6" 75 2410.87
"7" 80 2719.92
"8" 85 2304.45
"9" 90 3076.3
"10" 50 1425.27
"11" 55 2810.29
"12" 60 2144.94
"13" 65 1853.08
"14" 70 2206.1
"15" 75 2293.73
"16" 80 2519.3
"17" 85 2674.66
"18" 90 2984.56
"19" 50 1603.06
"20" 55 1801.45
"21" 60 2326.72
"22" 65 1752.36
"23" 70 2696.37
"24" 75 1718.72
"25" 80 2695.57
"26" 85 1936.21
"27" 90 3026.83
"28" 50 1724.84
"29" 55 2215.31
"30" 60 2053.76
"31" 65 2328.64
"32" 70 1598.54
"33" 75 2679.49
"34" 80 2493.65
"35" 85 2937.13
"36" 90 2583.15
"37" 50 1976.77
"38" 55 2272.54
"39" 60 2199.59
"40" 65 2320.64
"41" 70 2978.79
"42" 75 2642.96
"43" 80 2333.72
"44" 85 2479.89
"45" 90 2764.87
"46" 50 2013.31
"47" 55 1636.44
"48" 60 2145.5
"49" 65 2473.18
"50" 70 1766.41
"51" 75 2528.8
"52" 80 2121.7
"53" 85 2239.73
"54" 90 3381.79
"55" 50 1591.43
"56" 55 2207.33
"57" 60 2150.42
"58" 65 2243.75
"59" 70 2423.39
"60" 75 2630.66
"61" 80 2143.18
"62" 85 3102
"63" 90 2379.02
"64" 50 1493.58
"65" 55 2684.22
"66" 60 1953.17
"67" 65 1804.28
"68" 70 1679.67
"69" 75 2336.76
"70" 80 2249.08
"71" 85 2748.11
"72" 90 2346.03
